,TargetID,TargetName,SMILES,AnalogSeriesID,pKi
1652,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc4n3CCN(C4=O)C(C)C,6039,7.57
1653,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc4n3CCN(C4=O)CC(F)(F)F,6039,7.47
1654,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc4n3CCN(C4=O)CC5CC5,6039,8.05
1655,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc4n3CCN(C4=O)CCO,6039,7.34
1656,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc4n3CCN(C4=O)CCOC,6039,7.72
1657,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc4n3CCN(C4=O)Cc5ccc(cc5)F,6039,8.15
1658,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc4n3CCN(C4=O)Cc5cccc(c5)F,6039,7.85
1659,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc4n3CCN(C4=O)Cc5ccccc5F,6039,8.22
1660,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc4n3CCN(C4=O)Cc5ccccn5,6039,8.22
1661,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc4n3CCN(C4=O)Cc5cccnc5,6039,8.3
1662,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc4n3CCN(C4=O)Cc5ccncc5,6039,8.3
1663,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc4n3CCNC4=O,6039,7.6
1664,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)ccc(n3)C(=O)N4CCC(CC4)OC,16535,6.9
1665,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)ccc(n3)C(=O)N4CCC4,16535,7.21
1666,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)ccc(n3)C(=O)N4CCCC4C#N,16535,7.06
1667,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)ccc(n3)C(=O)N4CCOCC4,16535,6.62
1668,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3cc(ccc3c2)C(=O)N4CCC(CC4)CO,484,6.81
1669,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3cc(ccc3c2)C(=O)N4CCC(CC4)OC,484,7.21
1670,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3cc(ccc3c2)C(=O)N4CCCC4,484,7.24
1671,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3cc(ccc3c2)C(=O)N4CCOCC4,484,7.4
1672,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3cc(ccc3c2)C(=O)NC4CCCCC4,484,7.06
1673,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC2(CC1)CC2C(=O)N3CCN(CC3)C4CCCCC4,3362,7.33
1674,CHEMBL264,Histamine H3 receptor,CC(C)N1CCCN(CC1)C(=O)C2CC(CN2C(=O)C)Oc3cccc(c3)F,9964,7.29
1675,CHEMBL264,Histamine H3 receptor,CC(C)N1CCCN(CC1)C(=O)c2ccc(c(c2)CNC)Oc3ccc(c(c3)Cl)Cl,15643,8.92
1676,CHEMBL264,Histamine H3 receptor,CC(C)N1CCCN(CC1)C(=O)c2ccc(c(c2)CNC)Oc3ccc(cc3)Cl,10876,9.3
1677,CHEMBL264,Histamine H3 receptor,CC(C)N1CCCN(CC1)C(=O)c2ccc(c(c2)CNC)Oc3ccc(cc3)SC,8998,8.96
1678,CHEMBL264,Histamine H3 receptor,CC(C)N1CCCN(CC1)C(=O)c2ccc(c(c2)CNC)Oc3cccc(c3)Cl,10937,9.0
1679,CHEMBL264,Histamine H3 receptor,CC(C)N1CCCN(CC1)C(=O)c2ccc(cn2)Oc3ccc(c(c3)Cl)Cl,15191,8.82
1680,CHEMBL264,Histamine H3 receptor,CC(C)N1CCCN(CC1)C(=O)c2ccc(nc2)Oc3ccc(c(c3)Cl)Cl,15192,7.74
1681,CHEMBL264,Histamine H3 receptor,CC(C)N1CCCN(CC1)C(=O)c2cccc(n2)Oc3ccc(c(c3)Cl)Cl,23166,6.37
1682,CHEMBL264,Histamine H3 receptor,CC(C)N1CCCN(CC1)CCC#Cc2ccc(c(c2)CNC)Oc3ccc(cc3)SC,4887,7.03
1683,CHEMBL264,Histamine H3 receptor,CC(C)N1CCCc2cc(ccc2C1)OCCCN3CCCCC3,8035,9.7
1684,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)C2CC3(C2)CCN(CC3)C4CCOCC4,12228,9.52
1685,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)N2CCC(CC2)C(=O)N3CC4CCC(C3)CC4,11194,7.85
1686,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)N2CCC(CC2)C(=O)OC(C)(C)C,11194,7.6
1687,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)N2CCc3ccccc3C2,17633,7.14
1688,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)N2Cc3ccccc3C2,761,7.23
1689,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)NC2Cc3ccccc3C2,22577,7.52
1690,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)NCc2ccc(c(c2)Cl)Cl,12773,7.7
1691,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)NCc2ccc(cc2)Oc3ccccc3,21873,7.47
1692,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)OC2CCN(CC2)c3ccc(=O)[nH]c3,18093,8.86
1693,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)OC2CCN(CC2)c3ccc(=O)[nH]n3,18093,8.46
1694,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)OC2CCN(CC2)c3ccn(c(=O)c3)C,18093,8.1
1695,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2cc(cn2C)CN3CCCCC3,11156,7.49
1696,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2cc(cn2C)CN3CCOCC3,11156,6.85
1697,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2cc(sc2)CN3CCCCC3,11148,8.49
1698,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2cc(sc2)CN3CCOCC3,11148,7.43
1699,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(c(c2)CNC)Oc3ccc(c(c3)Cl)Cl,15643,8.62
1700,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(c(c2)CNC)Oc3ccc(cc3)Cl,75,8.96
1701,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(c(c2)CNC)Oc3ccc(cc3)SC,8998,8.66
1702,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(c(c2)CNC)Oc3cccc(c3)OC,8998,8.96
1703,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(cc2)C(CCN(C)C)Oc3ccc(cc3)C(F)(F)F,11173,8.64
1704,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(cc2)C(CCN(C)C)Oc3ccccc3,11173,9.1
1705,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(cc2)CN(C)C,359,8.3
1706,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(cc2)CN3CCC(CC3)F,359,8.82
1707,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(cc2)CN3CCCC3,359,9.0
1708,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(cc2)CN3CCCCC3,359,8.99
1709,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(cc2)CN3CCCCCC3,359,9.0
1710,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(cc2)CN3CCOCC3,359,8.6
1711,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(cc2)c3ccc(=O)n(n3)C,9558,6.78
1712,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(nc2)CN3CCCCC3,11760,8.96
1713,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(nc2)CN3CCOCC3,11760,7.82
1714,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(nc2)Oc3ccc(cc3)F,16080,7.1
1715,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(nc2)Oc3ccc(cc3)SC,11795,6.64
1716,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(nc2)Oc3ccccc3,11795,6.59
1717,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(nc2)Oc3ccccc3Cl,4471,7.51
1718,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(o2)CN3CCCCC3,17436,8.47
1719,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(o2)CN3CCOCC3,17436,7.27
1720,CHEMBL264,Histamine H3 receptor,CC(C)N1CCN(CC1)C(=O)c2ccc(o2)CNCCOC,17436,7.46
